Acacias;POINT (-73,76470000000000000 3,98890000000000000);;
Copacabana;POINT (-75,51030000000000000 6,34860000000000000);;
Santa Rosa de Cabal;POINT (-75,62110000000000000 4,86720000000000000);;
San Vicente del Caguan;POINT (-74,770000000000000 2,11530000000000000);;
San Andres;POINT (-81,70060000000000000 12,58470000000000000);;
Corozal;POINT (-75,29330000000000000 9,31690000000000000);;
Villa del Rosario;POINT (-72,47360000000000000 7,83530000000000000);;
Garzon;POINT (-75,62920000000000000 2,19610000000000000);;
Planeta Rica;POINT (-75,58190000000000000 8,40890000000000000);;
Necocli;POINT (-76,78390000000000000 8,42580000000000000);;
San Jose del Guaviare;POINT (-72,63860000000000000 2,56530000000000000);;
Manaure;POINT (-72,44440000000000000 11,7750000000000000);;
Marinilla;POINT (-75,33890000000000000 6,17440000000000000);;
Cienaga de Oro;POINT (-75,62110000000000000 8,8750000000000000);;
Puerto Asis;POINT (-76,49890000000000000 0,50060000000000000);;
Riosucio;POINT (-75,70280000000000000 5,42080000000000000);;
Plato;POINT (-74,78250000000000000 9,79250000000000000);;
Carepa;POINT (-76,65530000000000000 7,75810000000000000);;
Cajica;POINT (-74,0250000000000000 4,91670000000000000);;
Villamaria;POINT (-75,51530000000000000 5,04560000000000000);;
San Marcos;POINT (-75,12890000000000000 8,66220000000000000);;
Girardota;POINT (-75,44610000000000000 6,37690000000000000);;
Florida;POINT (-76,23470000000000000 3,32170000000000000);;
Pamplona;POINT (-72,64830000000000000 7,37610000000000000);;
Pradera;POINT (-76,24390000000000000 3,41890000000000000);;
Orito;POINT (-76,87080000000000000 0,66610000000000000);;
Puerto Boyaca;POINT (-74,58750000000000000 5,97610000000000000);;
El Banco;POINT (-73,97440000000000000 9,00080000000000000);;
San Gil;POINT (-73,13360000000000000 6,5550000000000000);;
Sabaneta;POINT (-75,6150000000000000 6,15080000000000000);;
Valle del Guamuez;POINT (-76,90530000000000000 0,42530000000000000);;
Puerto Libertador;POINT (-75,67170000000000000 7,88810000000000000);;
Tame;POINT (-71,74470000000000000 6,45830000000000000);;
Barbosa;POINT (-75,33060000000000000 6,43750000000000000);;
Lorica;POINT (-75,8160000000000000 9,24190000000000000);;
San Onofre;POINT (-75,52560000000000000 9,73720000000000000);;
Guarne;POINT (-75,44190000000000000 6,27920000000000000);;
El Bagre;POINT (-74,80860000000000000 7,60470000000000000);;
Chinu;POINT (-75,39810000000000000 9,10970000000000000);;
Baranoa;POINT (-74,91940000000000000 10,79560000000000000);;
Puerto Berrio;POINT (-74,40470000000000000 6,49060000000000000);;
Cimitarra;POINT (-73,950000000000000 6,31330000000000000);;
Maria la Baja;POINT (-75,29860000000000000 9,98110000000000000);;
Agustin Codazzi;POINT (-73,23690000000000000 10,03670000000000000);;
Samaniego;POINT (-77,59250000000000000 1,33640000000000000);;
Carmen de Viboral;POINT (-75,33420000000000000 6,08190000000000000);;
Yarumal;POINT (-75,41720000000000000 6,96330000000000000);;
La Vega;POINT (-76,77780000000000000 2,00080000000000000);;
