"ZGAVID","ZGAIT","ZGAN8","ZGCO","ZGUKID","ZGAIPR","ZGDTI","ZGRMK","ZGAA1","ZGAA2","ZGUSER","ZGPID","ZGUPMJ","ZGUPMT","ZGJOBN"
1001,"22",10061,"00001",0,"4",108221,"                              ",3259997063,0,"GLOZANO   ","B03B0068.C",108221,202451,"INDBOENT  "
1002,"22",10062,"00001",0,"4",108221,"                              ",189563609,0,"GLOZANO   ","B03B0068.C",108221,202452,"INDBOENT  "
1003,"22",10063,"00001",0,"4",108221,"                              ",417854147,0,"GLOZANO   ","B03B0068.C",108221,202452,"INDBOENT  "
1004,"22",10064,"00001",0,"4",108221,"                              ",378972000,0,"GLOZANO   ","B03B0068.C",108221,202452,"INDBOENT  "
1005,"22",10065,"00001",0,"4",108221,"                              ",10000000,0,"GLOZANO   ","B03B0068.C",108221,202452,"INDBOENT  "
1006,"22",10079,"00001",0,"4",108221,"                              ",8779338,0,"GLOZANO   ","B03B0068.C",108221,202457,"INDBOENT  "
1007,"22",10080,"00001",0,"4",108221,"                              ",8779338,0,"GLOZANO   ","B03B0068.C",108221,202457,"INDBOENT  "
1008,"22",35001,"00001",0,"4",108221,"                              ",17000000,0,"GLOZANO   ","B03B0068.C",108221,202458,"INDBOENT  "
1009,"22",35002,"00001",0,"4",108221,"                              ",188363712,0,"GLOZANO   ","B03B0068.C",108221,202458,"INDBOENT  "
1010,"22",35003,"00001",0,"4",108221,"                              ",71167382,0,"GLOZANO   ","B03B0068.C",108221,202458,"INDBOENT  "
1011,"22",35004,"00001",0,"4",108221,"                              ",25000000,0,"GLOZANO   ","B03B0068.C",108221,202459,"INDBOENT  "
1012,"22",35005,"00001",0,"4",108221,"                              ",5000000,0,"GLOZANO   ","B03B0068.C",108221,202459,"INDBOENT  "
1013,"22",35007,"00001",0,"4",108221,"                              ",525500000,0,"GLOZANO   ","B03B0068.C",108221,202459,"INDBOENT  "
1014,"22",35008,"00001",0,"4",108221,"                              ",154834098,0,"GLOZANO   ","B03B0068.C",108221,202459,"INDBOENT  "
1015,"22",35009,"00001",0,"4",108221,"                              ",10000000,0,"GLOZANO   ","B03B0068.C",108221,202459,"INDBOENT  "
1016,"22",35010,"00001",0,"4",108221,"                              ",2000000,0,"GLOZANO   ","B03B0068.C",108221,202459,"INDBOENT  "
1017,"22",35011,"00001",0,"4",108221,"                              ",1000000,0,"GLOZANO   ","B03B0068.C",108221,202459,"INDBOENT  "
1018,"22",35022,"00001",0,"4",108221,"                              ",296029831,0,"GLOZANO   ","B03B0068.C",108221,202501,"INDBOENT  "
1019,"22",35023,"00001",0,"4",108221,"                              ",176000000,0,"GLOZANO   ","B03B0068.C",108221,202501,"INDBOENT  "
1020,"22",35024,"00001",0,"4",108221,"                              ",12000000,0,"GLOZANO   ","B03B0068.C",108221,202501,"INDBOENT  "
1021,"22",35025,"00001",0,"4",108221,"                              ",12000000,0,"GLOZANO   ","B03B0068.C",108221,202501,"INDBOENT  "
1022,"22",35026,"00001",0,"4",108221,"                              ",4000000,0,"GLOZANO   ","B03B0068.C",108221,202501,"INDBOENT  "
1023,"22",35027,"00001",0,"4",108221,"                              ",200000,0,"GLOZANO   ","B03B0068.C",108221,202501,"INDBOENT  "
1024,"22",35028,"00001",0,"4",108221,"                              ",7500000,0,"GLOZANO   ","B03B0068.C",108221,202501,"INDBOENT  "
1025,"22",35029,"00001",0,"4",108221,"                              ",6000000,0,"GLOZANO   ","B03B0068.C",108221,202502,"INDBOENT  "
1026,"22",35030,"00001",0,"4",108221,"                              ",4000000,0,"GLOZANO   ","B03B0068.C",108221,202502,"INDBOENT  "
1027,"22",35031,"00001",0,"4",108221,"                              ",232859832,0,"GLOZANO   ","B03B0068.C",108221,202502,"INDBOENT  "
1028,"22",35032,"00001",0,"4",108221,"                              ",1500000,0,"GLOZANO   ","B03B0068.C",108221,202502,"INDBOENT  "
1029,"22",35033,"00001",0,"4",108221,"                              ",4000000,0,"GLOZANO   ","B03B0068.C",108221,202502,"INDBOENT  "
1030,"22",35034,"00001",0,"4",108221,"                              ",9500000,0,"GLOZANO   ","B03B0068.C",108221,202502,"INDBOENT  "
1031,"22",35035,"00001",0,"4",108221,"                              ",17000000,0,"GLOZANO   ","B03B0068.C",108221,202502,"INDBOENT  "
1032,"22",35037,"00001",0,"4",108221,"                              ",13031000,0,"GLOZANO   ","B03B0068.C",108221,202503,"INDBOENT  "
1033,"22",35038,"00001",0,"4",108221,"                              ",11200000,0,"GLOZANO   ","B03B0068.C",108221,202503,"INDBOENT  "
1034,"22",35040,"00001",0,"4",108221,"                              ",4500000,0,"GLOZANO   ","B03B0068.C",108221,202503,"INDBOENT  "
1035,"22",35042,"00001",0,"4",108221,"                              ",1340000000,0,"GLOZANO   ","B03B0068.C",108221,202503,"INDBOENT  "
1036,"22",35047,"00001",0,"4",108221,"                              ",9221000,0,"GLOZANO   ","B03B0068.C",108221,202504,"INDBOENT  "
1037,"22",35051,"00001",0,"4",108221,"                              ",1600000,0,"GLOZANO   ","B03B0068.C",108221,202504,"INDBOENT  "
1038,"22",35053,"00001",0,"4",108221,"                              ",2400000,0,"GLOZANO   ","B03B0068.C",108221,202504,"INDBOENT  "
1039,"22",35055,"00001",0,"4",108221,"                              ",7310000,0,"GLOZANO   ","B03B0068.C",108221,202505,"INDBOENT  "
1040,"22",35056,"00001",0,"4",108221,"                              ",24982000,0,"GLOZANO   ","B03B0068.C",108221,202505,"INDBOENT  "
